ID,Province,Study_site,Latitude,Longitude,Altitude,MAT,MAP,Soil_fertility,Forest_type,Dominant_species,Stand_origin,Stand_age,MMD,Mean_DBH,Mean_height,Stand_density,GSV,Plot_dimension,Sample_size,Method,Tree_numbers,Trees,AGBt,Wood,Bark,Stem,Branch,Leaf,Crown,Reproduction,BGBt,Understory,AGBu,BGBu,Shrub,AGBs,BGBs,Floor,AGBf,BGBf,Liana,DOM,Litterfall,Suspended_branches,Dead_trees,Sources
1,Hubei,Changlinggang Forest Farm,30.8,110.03,1650,9.4,1411,IV,Larix forest,L. kaempferi,Planted,13,Min DBH,15.4,13.8,714,85.709,667,10,Allometry,5,53.177,41.582,NA,NA,28.195,10.223,3.164,13.387,NA,11.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Ai and Shen 2001
2,Hubei,Ganxishan Forest Farm,30.24,108.85,1400,10.3,1320,IV,Cunninghamia forest,C. lanceolata,Planted,24,Min DBH,NA,NA,1590,NA,667,1,Allometry,5,71.3,57.6,NA,NA,45.4,6.8,5.4,12.2,NA,13.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,0,6.9,6.9,0,0,Ai and Zhou 1996
3,Hubei,Ganxishan Forest Farm,30.24,108.85,1400,10.3,1320,IV,Cunninghamia forest,C. lanceolata,Planted,24,Min DBH,NA,NA,1665,NA,667,1,Allometry,5,68.8,52.2,NA,NA,43.8,5,3.4,8.4,NA,16.6,2.7,NA,NA,NA,NA,NA,NA,NA,NA,0,5.1,5.1,0,0,Ai and Zhou 1996
4,Guizhou,Banqiaohe Watershed,28.21,108.18,883,17,1161,III,Pinus forest,P. massoniana,Secondary,11,Min DBH,7.2,6.8,2033,26.736,600,1,Allometry,NA,29.922,25.33,NA,NA,18.036,3.733,3.561,7.294,NA,4.592,2.59,NA,NA,1.438,NA,NA,1.152,NA,NA,0,2.989,2.989,0,0,An et al. 1991
5,Guizhou,Banqiaohe Watershed,28.21,108.18,883,17,1161,III,Pinus forest,P. massoniana,Secondary,21,Min DBH,12.7,14.5,2030,177.115,600,1,Allometry,NA,100.954,85.954,NA,NA,68.919,11.322,5.713,17.035,NA,15,2.59,NA,NA,1.438,NA,NA,1.152,NA,NA,0,2.989,2.989,0,0,An et al. 1991
6,Guizhou,Banqiaohe Watershed,28.21,108.18,883,17,1161,III,Pinus forest,P. massoniana,Secondary,30,Min DBH,15.2,14.4,2120,263.129,600,1,Allometry,NA,155.172,132.538,NA,NA,108.92,16.695,6.923,23.618,NA,22.634,2.59,NA,NA,1.438,NA,NA,1.152,NA,NA,0,2.989,2.989,0,0,An et al. 1991
7,Guizhou,Banqiaohe Watershed,28.21,108.18,980,17,1161,III,Evergreen coniferous mixed forest,Cunninghamia lanceolata & Cupressus funebris,Secondary,32,Min DBH,14.4,13.2,744,88.341,600,1,Allometry,NA,71.093,61.028,NA,NA,49.698,5.252,6.078,11.33,NA,10.065,2.201,NA,NA,0.764,NA,NA,1.437,NA,NA,0,3.213,3.213,0,0,An et al. 1991
8,Guizhou,Banqiaohe Watershed,28.21,108.18,850,17,1161,III,Cupressus forest,C. funebris,Secondary,30,Min DBH,12.1,10,818,47.376,600,1,Allometry,NA,32.724,26.957,NA,NA,20.907,3.354,2.696,6.05,NA,5.767,2.201,NA,NA,0.764,NA,NA,1.437,NA,NA,0,3.213,3.213,0,0,An et al. 1991
9,Heilongjiang,Liangshui Nature Reserve,47.22,128.77,640,0.5,655,V,Larix forest,L. gmelinii,Planted,25,Min DBH,14.3,17,1160,131,1000,1,Allometry,8,NA,117.8,NA,NA,108,7.5,2.3,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Bai and Zhan 1980
10,Inner Mongolia,Guluban Forest Farm,40.76,111.81,1224,5.9,400,II,Pinus forest,P. tabuliformis,Planted,30,Min DBH,8.79,4.94,1419,28.614,400,1,Average,,NA,29.103,10.19,2.419,12.609,8.3,6.622,14.922,1.572,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,0,4.17,4.17,0,0,Bai et al. 2008
11,Inner Mongolia,Guluban Forest Farm,40.76,111.81,1224,5.9,400,II,Pinus forest,P. tabuliformis,Planted,30,Min DBH,7.92,4.76,1722,27.163,400,1,Average,,NA,35.972,13.118,2.879,15.997,10.365,8.368,18.733,1.242,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,0,10.64,10.64,0,0,Bai et al. 2008
